title,likes,comm,uid,udate
헌트 ,4,진짜 댓글알바들이 제일 나빠...돈아까워요..댓글알바들 글 보면 공통적으로 영혼이 없음..속지말자 아무리 이정재 정우성이니 해도 신고,kist****,22.08.23
나 홀로 집에 ,10,나에게 크리스마스 때를 알려주는 영화 신고,hans****,22.08.23
카터 ,4,"액션에 공들이다보니 전반적인 완성도는 미흡해 보입니다. 초반 액션이 잔인하지만 정말 멋집니다. 그러나 초반 액션의 패턴이 영화 끝까지 반복하는 것은 오히려 신선도를 떨어트리네요. 특히, 레이싱 드론 스타일의 카메라 워크는 거북합니다. 액션의 개연성도 너무 낮다보니 관람내내 '저게 된다고?' 를 연발했네요. 액션 텐션이 계속 높은 것 같은데 자제할 부분에선 살짝 자제했으면 정말 좋은 영화가 되지 않았을까 합니다. 신고",nowr****,22.08.23
한산: 용의 출현 ,10,"이순신 장군님의 모습중에 지장, 덕장의 모습이 인상깊은 영화였습니다. 최고! 신고",yiki****,22.08.23
외계+인 1부 ,8,의외로 괜찮음 다만 대사 왜 이리 안들리냐 자막으로 다시 봐야 유머도 놓치지 않을텐데 싶다. 신고,punc****,22.08.23
놉 ,8,한단계 더 업그레이드된 신묘한 조동필의 세계 신고,yong****,22.08.23
풀타임 ,8,워킹맘과 워라밸에 대해 생각해 볼 수 있었던 좋은 영화였어요 신고,good****,22.08.23
한산: 용의 출현 ,10,해전 4DX로 봤더니 몰입감 두배! 신고,bom0****,22.08.23
비바리움 ,1,50분동안 땅파고 50분동안 애새끼가 소리지르는 영화 신고,wjhl****,22.08.23
헌트 ,8,"적당한 긴장감, 극적인 전개 신고",chel****,22.08.23
헌트 ,9,신고,rokm****,22.08.23
놉 ,7,겟아웃 > 어스 > 놉 조던필이 오락영화에서 예술영화로 가는 길 신고,wngu****,22.08.23
비상선언 ,5,4d가 살렸다 신고,gge0****,22.08.23
외계+인 1부 ,2,과거 흥행작 영화들 짜집기한 영화 넘 잼없다.내돈 돌려도 신고,mook****,22.08.23
외계+인 1부 ,1,너무하네.. 이좋은배우들가지고 ㅋㅋㅋ 신고,kbj4****,22.08.23
카터 ,1,평할것도 읎다 연기 스토리 완전 망작.. 신고,tygo****,22.08.23
외계+인 1부 ,4,"지금 보고 있는데 일단 초반부를 평하자면 영화는 잘찍었어~ 감독은 문제없다잉~ 근데 로봇 말투 처음에 죽는 여자 말투 이런 말투, 배우들의 말투가 영화 분위기를 확!!! 깨버리네 ~ 그래서 보기 싫다는 생각이 든다 그리고 코믹한 부분을 억지로 넣었다는 생각이 드네 씨트콤 보는 줄 13분 봤는데 끝까지 봐야하나? ㅋ보다가 그냥 껐다 에피소드 별로 만들었어야지 이게뭐야 배우들 목소리, 말투 + 부적절한 코믹 연기 + 연결성 없는 과거와 현재 + 주연급들의 배우가 너무 많음 + 너무 CG같은 CG = 망함!!!! 아직도 극장에서 상영을 한다는게 말이 안됨!!! 이런 영화는 손익분기점을 넘겨주면 안되! 그래야 다시는 이렇게 안 만들지~! 신고",ares****,22.08.23
뜨거운 피 ,5,줄거리가 맥락이 없네. 바람 출연진 출동 신고,glts****,22.08.23
헌트 ,8,추측하는 재미가 있는 영화 신고,ftgz****,22.08.23
7번방의 선물 ,6,"억지 감동, 신파 작렬. 유승룡도 연기는 잘 하지만 독한 인상으로 그런 역을 하니 보는 내내 도무지 감정이입이 안된다. 전혀 눈물 안나는 눈물바람 영화. 신고",lymo****,22.08.23
헌트 ,10,멋짐 멋짐 너무 좋아요. 새로운 시도와 도전. 응원합니다 신고,pink****,22.08.23
